event_id,event_start_date,event_end_date,occurrence_year,occurrence_month,end_year,end_month,event_year,event_month,event_quarter,year_month,loss_amount_10k_cny,gross_loss_cny,recovery_amount_cny,net_loss_cny,log_gross_loss,loss_severity_bucket,is_high_loss,bank_involved_code_raw,num_banks_involved,primary_bank_code,province_occurred,city_occurred,causal_factor,event_type,business_line,event_duration_months,description
2328,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,30.0,300000.0,0.0,300000.0,12.611541086966115,Medium,0,155,1,155,"Inner mongolia,Inner mongolia",,People,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by People in Asset management located in Inner mongolia,Inner mongolia, Unknown city."
2329,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,6,1,6,"Inner mongolia,Inner mongolia",,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Inner mongolia,Inner mongolia, Unknown city."
2330,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,20.0,200000.0,0.0,200000.0,12.206077645517674,Medium,0,155,1,155,Shanxi,Xinzhou,People,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by People in Asset management located in Shanxi, Xinzhou."
2331,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,85.0,850000.0,0.0,850000.0,13.652992804936396,Medium,0,15,1,15,,Jiaxing,People,Internal fraud,Payment and settlement,,"Operational risk event: Internal fraud caused by People in Payment and settlement located in Unknown province, Jiaxing."
2332,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,4,1,4,Guangdong,,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Guangdong, Unknown city."
2333,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,40.0,400000.0,0.0,400000.0,12.899222326086994,Medium,0,156,1,156,Guangdong,,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Guangdong, Unknown city."
2334,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,125,1,125,,Leshan,Process,"Execution, delivery & process management",Trading & sales,,"Operational risk event: Execution, delivery & process management caused by Process in Trading & sales located in Unknown province, Leshan."
2335,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,40.0,400000.0,0.0,400000.0,12.899222326086994,Medium,0,155,1,155,,Luzhou,People,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by People in Asset management located in Unknown province, Luzhou."
2336,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,6.0,60000.0,0.0,60000.0,11.002116507732017,Low,0,19,1,19,Shanghai,,Process,"Clients, products & business practices",Trading & sales,,"Operational risk event: Clients, products & business practices caused by Process in Trading & sales located in Shanghai, Unknown city."
2337,2019-04-01,,2019.0,4.0,,,2019.0,4.0,2.0,2019-04,3.0,30000.0,0.0,30000.0,10.308985993422082,Low,0,126,1,126,Shaanxi,Xi'an,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Shaanxi, Xi'an."
2338,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,156,1,156,,Binzhou,People,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by People in Asset management located in Unknown province, Binzhou."
2339,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,35.0,350000.0,0.0,350000.0,12.765691290604371,Medium,0,155,1,155,Shandong,Binzhou,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Shandong, Binzhou."
2340,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,35.0,350000.0,0.0,350000.0,12.765691290604371,Medium,0,155,1,155,,Binzhou,Process,"Clients, products & business practices",Asset management,,"Operational risk event: Clients, products & business practices caused by Process in Asset management located in Unknown province, Binzhou."
2341,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,112,1,112,Shandong,"Qingdao,Zibo",Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Shandong, Qingdao,Zibo."
2342,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,20.0,200000.0,0.0,200000.0,12.206077645517674,Medium,0,70,1,70,Shandong,,Process,"Clients, products & business practices",Commercial banking,,"Operational risk event: Clients, products & business practices caused by Process in Commercial banking located in Shandong, Unknown city."
2343,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,20.0,200000.0,0.0,200000.0,12.206077645517674,Medium,0,,0,,,,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Unknown province, Unknown city."
2344,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,50.0,500000.0,0.0,500000.0,13.122365377402328,Medium,0,,0,,,,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Unknown province, Unknown city."
2345,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,55.0,550000.0,0.0,550000.0,13.217675375388819,Medium,0,127,1,127,Shandong,Taian,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Shandong, Taian."
2346,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,35.0,350000.0,0.0,350000.0,12.765691290604371,Medium,0,22,1,22,"Beijing,Shandong",Jinan,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Beijing,Shandong, Jinan."
2347,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,55.0,550000.0,0.0,550000.0,13.217675375388819,Medium,0,23,1,23,"Tianjin,Shandong",Jinan,Process,"Execution, delivery & process management",Asset management,,"Operational risk event: Execution, delivery & process management caused by Process in Asset management located in Tianjin,Shandong, Jinan."
2348,2019-03-01,,2019.0,3.0,,,2019.0,3.0,1.0,2019-03,20.0,200000.0,0.0,200000.0,12.206077645517674,Medium,0,10,1,10,Shandong,Zibo,People,"Clients, products & business practices",Payment and settlement,,"Operational risk event: Clients, products & business practices caused by People in Payment and settlement located in Shandong, Zibo."
